Aplicação,Dependência,Pacote,Versão,Peso
CHADO,libhcrypto4-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,4
CHADO,libheimbase1-heimdal,libc6 ,>= 2.14,1
CHADO,libheimntlm0-heimdal,libc6 ,>= 2.4,5
CHADO,libheimntlm0-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,5
CHADO,libheimntlm0-heimdal,libkrb5-26-heimdal ,>= 1.4.0+git20110226,5
CHADO,libheimntlm0-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,5
CHADO,libheimntlm0-heimdal,libwind0-heimdal ,>= 1.4.0+git20110226,5
CHADO,libkrb5-26-heimdal,libasn1-8-heimdal ,>= 1.6~git20131117,9
CHADO,libkrb5-26-heimdal,libc6 ,>= 2.15,9
CHADO,libkrb5-26-heimdal,libcomerr2 ,>= 1.41.11,9
CHADO,libkrb5-26-heimdal,libhcrypto4-heimdal ,>= 1.7~git20161112,9
CHADO,libkrb5-26-heimdal,libheimbase1-heimdal ,>= 1.6~git20131117,9
CHADO,libkrb5-26-heimdal,libhx509-5-heimdal ,>= 1.4.0+git20110226,9
CHADO,libkrb5-26-heimdal,libroken18-heimdal ,>= 1.7~git20160418,9
CHADO,libkrb5-26-heimdal,libsqlite3-0 ,>= 3.5.9,9
CHADO,libkrb5-26-heimdal,libwind0-heimdal ,>= 1.6~git20120311,9
CHADO,libhx509-5-heimdal,libasn1-8-heimdal ,>= 1.4.0+git20110226,7
CHADO,libhx509-5-heimdal,libc6 ,>= 2.14,7
CHADO,libhx509-5-heimdal,libcomerr2 ,>= 1.34,7
CHADO,libhx509-5-heimdal,libhcrypto4-heimdal ,>= 1.4.0+git20110226,7
CHADO,libhx509-5-heimdal,libheimbase1-heimdal ,>= 1.6~git20131117,7
CHADO,libhx509-5-heimdal,libroken18-heimdal ,>= 1.7~git20150920,7
CHADO,libhx509-5-heimdal,libwind0-heimdal ,>= 1.4.0+git20110226,7
CHADO,libwind0-heimdal,libc6 ,>= 2.14,3
CHADO,libwind0-heimdal,libcomerr2 ,>= 1.01,3
CHADO,libwind0-heimdal,libroken18-heimdal ,>= 1.4.0+git20110226,3
CHADO,libsqlite3-0,libc6 ,>= 2.14,1
CHADO,libsasl2-2,libc6 ,>= 2.15,2
CHADO,libsasl2-2,libsasl2-modules-db ,>= 2.1.27~101-g0780600+dfsg-3ubuntu2,2
CHADO,libsasl2-modules-db,libc6 ,>= 2.14,2
CHADO,libsasl2-modules-db,libdb5.3,any,2
CHADO,libdb5.3,libc6 ,>= 2.17,1
CHADO,libssl1.1,debconf ,>= 0.5,3
